Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
CERN,Cerner Corporation,67.53,0.41,0.61%,1.494M,5.03M,21.211B,43.32,
STM,STMicroelectronics N.V.,23.25,0.57,2.51%,1.849M,6.05M,20.643B,19.87,
MTCH,"Match Group, Inc.",73,0.01,0.01%,2.195M,4.752M,20.528B,43.56,
SNPS,"Synopsys, Inc.",136.1,0.35,0.26%,"791,773",2.618M,20.374B,33.4,
IAC,IAC/InterActiveCorp,229.56,2.31,1.02%,"747,660",2.009M,19.352B,40.66,
KEYS,"Keysight Technologies, Inc.",101.9,0.99,0.98%,1.177M,4.156M,19.114B,62.52,
SPLK,Splunk Inc.,123.11,3.15,2.63%,1.184M,3.39M,19.001B,N/A,
CDW,CDW Corporation,131.2,3.29,2.57%,"978,721",4.009M,18.987B,27.53,
ANSS,"ANSYS, Inc.",220,-0.15,-0.07%,"711,550",1.109M,18.502B,43.04,
CDNS,"Cadence Design Systems, Inc.",65.48,0.13,0.20%,2.24M,4.34M,18.373B,43.08,
GRMN,Garmin Ltd.,94.46,0.71,0.76%,1.483M,3.521M,17.957B,23.04,
CHKP,Check Point Software Technologies Ltd.,112.12,-0.29,-0.26%,"620,294",2.411M,17.421B,21.86,
SWKS,"Skyworks Solutions, Inc.",98.3,7.24,7.95%,3.586M,4.406M,16.878B,18.71,
MRVL,Marvell Technology Group Ltd.,25.14,0.75,3.08%,5.636M,14.188M,16.768B,N/A,
MXIM,"Maxim Integrated Products, Inc.",60.55,1.89,3.22%,1.516M,4.753M,16.385B,21.76,
WDC,Western Digital Corporation,53.83,2.18,4.22%,9.613M,38.288M,16.001B,N/A,
FTNT,"Fortinet, Inc.",90.13,8.57,10.51%,4.327M,6.092M,15.411B,39.95,
STX,Seagate Technology plc,57.62,-0.41,-0.71%,4.683M,10.139M,15.22B,9.14,
SSNC,"SS&C Technologies Holdings, Inc.",57.52,5.51,10.59%,3.679M,4.471M,14.596B,42.77,
SYMC,Symantec Corporation,23.41,0.53,2.32%,4.139M,18.453M,14.468B,140.18,
CTXS,"Citrix Systems, Inc.",109.54,0.68,0.62%,1.334M,4.002M,14.339B,23.7,
ANET,"Arista Networks, Inc.",185.3,-59.27,-24.23%,10.465M,3.098M,14.202B,19.52,
AKAM,"Akamai Technologies, Inc.",87.5,1,1.16%,1.475M,4.573M,14.175B,31.88,
IT,"Gartner, Inc.",156.09,2.01,1.30%,"609,292",1.485M,14.07B,57.07,
NTAP,"NetApp, Inc.",57.09,1.21,2.17%,2.217M,5.788M,13.582B,14.59,
RNG,"RingCentral, Inc.",161.91,0.39,0.24%,1.054M,2.76M,13.434B,N/A,
OKTA,"Okta, Inc.",111.07,2,1.83%,1.262M,4.892M,13.3B,N/A,
SE,Sea Limited,29.9,0.14,0.47%,2.537M,6.432M,13.305B,N/A,
TTWO,"Take-Two Interactive Software, Inc.",116.9,-3.45,-2.87%,1.984M,3.299M,13.231B,43.38,
TWLO,Twilio Inc.,97.06,0.5,0.52%,4.929M,27.418M,13.189B,N/A,
ZBRA,Zebra Technologies Corporation,238,0.13,0.05%,"453,478",1.127M,12.88B,26.97,
IQ,"iQIYI, Inc.",17.73,0.3,1.72%,2.832M,9.595M,12.856B,16.73,
LYFT,"Lyft, Inc.",42.98,1.54,3.72%,7.497M,31.893M,12.79B,N/A,
PAGS,PagSeguro Digital Ltd.,37.17,0.09,0.24%,2.703M,8.781M,12.223B,53.41,
PAYC,"Paycom Software, Inc.",214.31,2.78,1.31%,"432,577",1.656M,12.356B,75.09,
TDY,Teledyne Technologies Incorporated,336.15,6.55,1.99%,"171,656","500,233",12.259B,33.25,
LDOS,"Leidos Holdings, Inc.",85.33,-0.9,-1.04%,"935,512",3.61M,12.08B,18.59,
